epoch,acc,loss,val_acc,val_loss
0,0.3267964749771573,1.7674368516774905,0.3872945110224588,1.6374988122117922
1,0.42140095440558023,1.5278148149521382,0.45082195598074704,1.4778602708844164
2,0.4677278902127977,1.4110640036432367,0.4781276121648383,1.4047975524882148
3,0.4957330453869832,1.337780584062901,0.498328225165564,1.3576280516347834
4,0.5114075725423808,1.2904165550277975,0.5197826693004205,1.2851202870252305
5,0.5305304956644189,1.2502177699555872,0.5314850933490672,1.2405528389799725
6,0.5440454212985337,1.2260459019927763,0.5165784340875997,1.2692514821725092
7,0.5483646243379849,1.1988897536249303,0.5528002229116195,1.2105043516679872
8,0.5611480720373127,1.175018449679052,0.4966564502646977,1.3388546530201961
9,0.5636211640990355,1.1617705218781746,0.5501532460378384,1.2260386589743295
